hafta,turkce,ingilizce_v1,ingilizce_v2
5,Uçuşu iptal etmek,Cancel a flight,cancelled a flight
5,Pasaport kontrolünden geçmek,Pass passport control,passed passport control
5,Para bozdurmak,Exchange currency,exchanged currency
5,Yol sormak,Ask for directions,asked for directions
5,Tabelaları takip etmek,Follow the signs,followed the signs
5,Müze ziyaret etmek,Visit a museum,visited a museum
5,Görülecek yerleri görmek,See the sights,saw the sights
5,Denizde yüzmek,Swim in the sea,swam in the sea
5,Dağa tırmanmak,Climb a mountain,climbed a mountain
5,Kamp yapmaya gitmek,Go camping,went camping
5,Ateş yakmak,Light a fire,lit a fire
5,Fikri olmak,Have an idea,had an idea
5,Karar vermek,Make a decision,made a decision
5,Plan yapmak,Make a plan,made a plan
5,Fikrini değiştirmek,Change your mind,changed your mind
5,Dil öğrenmek,Learn a language,learned a language
5,Yeteneklerini geliştirmek,Improve your skills,improved your skills
5,Hedef belirlemek,Set a goal,set a goal
5,Hedefe ulaşmak,Achieve a goal,achieved a goal
5,Problemle yüzleşmek,Face a problem,faced a problem
5,Problem çözmek,Solve a problem,solved a problem
5,Korkunun üstesinden gelmek,Overcome a fear,overcame a fear
5,Ev inşa etmek,Build a house,built a house
6,Arabayı tamir etmek,Fix the car,fixed the car
6,Evi temizlemek,Clean the house,cleaned the house
6,Arabayı yıkamak,Wash the car,washed the car
6,Resim yapmak,Paint a picture,painted a picture
6,Resim çizmek,Draw a picture,drew a picture
6,Mektup yazmak,Write a letter,wrote a letter
6,Paket almak,Receive a package,received a package
6,Belgeyi imzalamak,Sign a document,signed a document
6,Anahtarlarını unutmak,Forget your keys,forgot your keys
6,Bir ismi hatırlamak,Remember a name,remembered a name
6,Bir farkı fark etmek,Notice a difference,noticed a difference
6,Bir hikayeye inanmak,Believe a story,believed a story
6,Bir kişiye güvenmek,Trust a person,trusted a person
6,Bir fikre saygı duymak,Respect an opinion,respected an opinion
6,Bir takımı desteklemek,Support a team,supported a team
6,Bir kulübe katılmak,Join a club,joined a club
6,Bir partiden ayrılmak,Leave a party,left a party
6,İş kurmak,Start a business,started a business
6,Bir şirket işletmek,Run a company,ran a company
6,İşçi/çalışan almak,Hire an employee,hired an employee
6,İşçi çıkarmak,Fire an employee,fired an employee
6,İşi bırakmak,Quit a job,quit a job
6,Terfi almak,Get a promotion,got a promotion
6,Düğüne katılmak,Attend a wedding,attended a wedding
6,Parti vermek,Throw a party,threw a party
7,Etkinlik düzenlemek,Organize an event,organized an event
7,Misafir davet etmek,Invite guests,invited guests
7,Ziyaretçileri karşılamak,Welcome visitors,welcomed visitors
7,Hoşça kal demek,Say goodbye,said goodbye
7,Bir arkadaşı selamlamak,Greet a friend,greeted a friend
7,Bir kişiyi kucaklamak,Hug a person,hugged a person
7,El sıkışmak,Shake hands,shook hands
7,El sallamak,Wave a hand,waved a hand
7,Hediye açmak,Open a present,opened a present
7,Mumları üflemek,Blow out candles,blew out candles
7,Kadeh kaldırmak,Make a toast,made a toast
7,Doğum günü kutlamak,Celebrate a birthday,celebrated a birthday
7,Bir oyunu kazanmak,Win a game,won a game
7,Bir oyunu kaybetmek,Lose a game,lost a game
7,Rekor kırmak,Break a record,broke a record
7,Bir maçı yönetmek,Referee a match,refereed a match
7,Bir at üzerine bahse girmek,Bet on a horse,bet on a horse
7,Fal bakmak,Tell a fortune,told a fortune
7,Bir dileği yerine getirmek,Grant a wish,granted a wish
7,Bir alışkanlığı bırakmak,Break a habit,broke a habit
7,Alışkanlık edinmek,Form a habit,formed a habit
7,Bir takıma öncülük etmek,Lead a team,led a team
7,Talimatları takip etmek,Follow instructions,followed instructions
7,Kurallara uymak,Obey the rules,obeyed the rules
7,Yasayı ihlal etmek,Break the law,broke the law
8,Ceza ödemek,Pay a fine,paid a fine
8,Cezasını çekmek,Serve a sentence,served a sentence
8,Suç işlemek,Commit a crime,committed a crime
8,Suç bildirmek,Report a crime,reported a crime
8,Bir adayı desteklemek,Support a candidate,supported a candidate
8,Oy vermek,Cast a vote,cast a vote
8,Sonuçları açıklamak,Announce the results,announced the results
8,Telefonu şarj etmek,Charge the phone,charged the phone
8,Telefonunu kontrol etmek,Check your phone,checked your phone
8,Spor yapmak,Work out,worked out
8,Evde dinlenmek,Relax at home,relaxed at home
8,Sesi açmak / kısmak,Turn up / down the volume,turned up / down the volume
8,Fitness yapmak,Do fitness,did fitness
8,İyileşmek,Get better,got better
8,Çocukları almak (okuldan vb.),Pick up the kids,picked up the kids
8,Çocukları bırakmak (okula vb.),Drop off the kids,dropped off the kids
8,Koşuya gitmek,Go jogging,went jogging
8,Yürüyüşe çıkmak,Go for a walk,went for a walk
8,Yemeği tatmak,Taste the food,tasted the food
8,Yeri süpürmek,Sweep the floor,swept the floor
8,Çamaşırları katlamak,Fold the clothes,folded the clothes
8,Kanal değiştirmek,Switch channels,switched channels
8,Video kaydetmek,Record a video,recorded a video
8,Çarşafıları değiştirmek,Change the sheets,changed the sheets
8,Gömlek ütülemek,Iron a shirt,ironed a shirt
